INFO 2025-10-30 17:28:44,903 autoreload 16616 9244 Watching for file changes with StatReloader
INFO 2025-10-31 20:29:33,630 basehttp 16616 7888 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
INFO 2025-10-31 20:29:33,627 basehttp 16616 6864 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
WARNING 2025-10-31 20:29:33,788 log 16616 7888 Unauthorized: /api/auth/profile/
WARNING 2025-10-31 20:29:33,789 basehttp 16616 7888 "GET /api/auth/profile/ HTTP/1.1" 401 183
WARNING 2025-10-31 20:29:33,848 log 16616 7888 Unauthorized: /api/auth/profile/
WARNING 2025-10-31 20:29:33,885 basehttp 16616 7888 "GET /api/auth/profile/ HTTP/1.1" 401 183
INFO 2025-11-02 15:22:27,479 basehttp 16616 20032 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:29,800 basehttp 16616 20032 "POST /api/auth/login/ HTTP/1.1" 200 789
INFO 2025-11-02 15:22:30,010 basehttp 16616 20032 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,011 basehttp 16616 11508 "OPTIONS /api/borrow-records/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,030 basehttp 16616 20032 "OPTIONS /api/books/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,035 basehttp 16616 11508 "OPTIONS /api/fines/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,045 basehttp 16616 20032 "OPTIONS /api/reservations/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,046 basehttp 16616 11508 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,071 basehttp 16616 20032 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,075 basehttp 16616 11508 "OPTIONS /api/books/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,086 basehttp 16616 20032 "OPTIONS /api/fines/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,086 basehttp 16616 11508 "OPTIONS /api/reservations/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,106 basehttp 16616 20032 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,106 basehttp 16616 11508 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:30,388 basehttp 16616 11508 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-11-02 15:22:30,487 basehttp 16616 20032 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-02 15:22:30,557 basehttp 16616 11508 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-11-02 15:22:30,625 basehttp 16616 20032 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-11-02 15:22:30,634 basehttp 16616 11508 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-02 15:22:30,677 basehttp 16616 20032 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-11-02 15:22:30,956 basehttp 16616 36072 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-02 15:22:30,990 basehttp 16616 36552 "GET /api/users/ HTTP/1.1" 200 6165
INFO 2025-11-02 15:22:31,022 basehttp 16616 20032 "GET /api/users/ HTTP/1.1" 200 6165
INFO 2025-11-02 15:22:31,028 basehttp 16616 24532 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-02 15:22:31,074 basehttp 16616 30892 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-02 15:22:31,087 basehttp 16616 36072 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-02 15:22:31,158 basehttp 16616 30892 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-02 15:22:31,163 basehttp 16616 24532 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-02 15:22:40,179 basehttp 16616 9024 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
INFO 2025-11-02 15:22:40,183 basehttp 16616 15224 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
